Time,Light
1,404
2,399
3,399
4,400
5,400
6,398
7,394
8,390
9,385
10,382
11,384
12,387
13,389
14,390
15,389
16,386
17,382
18,378
19,379
20,383
21,386
22,388
23,388
24,386
25,382
26,378
27,377
28,381
29,385
30,387
31,387
32,386
33,383
34,379
35,377
36,379
37,384
38,387
39,389
40,387
41,385
42,381
43,378
44,380
45,384
46,387
47,389
48,388
49,387
50,383
51,379
52,379
53,382
54,386
55,389
56,389
57,388
58,385
59,381
60,378
61,382
62,386
63,389
64,389
65,389
66,386
67,383
68,381
69,384
70,390
71,396
72,399
73,400
74,400
75,398
76,396
77,397
78,402
79,407
80,409
81,411
82,410
83,408
84,405
85,404
86,407
87,411
88,415
89,416
90,416
91,413
92,411
93,408
94,410
95,414
96,417
97,418
98,418
99,417
100,413
101,409
102,408
103,410
104,413
105,415
106,414
107,412
108,409
109,405
110,403
111,405
112,409
113,411
114,411
115,410
116,408
117,404
118,400
119,402
120,406
121,409
122,410
123,409
124,407
125,404
126,400
127,401
128,404
129,408
130,410
131,410
132,408
133,405
134,403
135,401
136,405
137,409
138,413
139,414
140,413
141,412
142,409
143,406
144,408
145,412
146,416
147,417
148,417
149,415
150,413
151,409
152,409
153,413
154,416
155,418
156,419
157,417
158,415
159,412
160,410
161,413
162,417
163,419
164,420
165,419
166,417
167,414
168,413
169,417
170,423
171,427
172,430
173,431
174,430
175,429
176,426
177,427
178,432
179,436
180,438
181,438
182,437
183,435
184,432
185,431
186,434
187,438
188,440
189,441
190,440
191,438
192,436
193,433
194,435
195,439
196,442
197,443
198,442
199,440
200,436
201,431
202,428
203,429
204,430
205,430
206,428
207,425
208,421
209,416
210,413
211,416
212,419
213,420
214,420
215,418
216,415
217,411
218,408
219,409
220,413
221,415
222,416
223,415
224,413
225,410
226,406
227,406
228,410
229,413
230,415
231,414
232,413
233,410
234,407
235,407
236,411
237,416
238,419
239,421
240,420
241,419
242,416
243,414
244,417
245,421
246,425
247,426
248,426
249,424
250,421
251,417
252,419
253,422
254,426
255,427
256,428
257,426
258,423
259,420
260,419
261,423
262,426
263,429
264,429
265,428
266,426
267,431
268,440
269,452
270,464
271,474
272,480
273,484
274,487
275,488
276,489
277,492
278,497
279,501
280,503
281,504
282,504
283,503
284,501
285,502
286,505
287,508
288,510
289,511
290,510
291,509
292,507
293,505
294,507
295,510
296,512
297,513
298,512
299,511
300,507
301,502
302,500
303,500
304,500
305,499
306,496
307,494
308,490
309,486
310,485
311,486
312,488
313,489
314,488
315,487
316,484
317,481
318,479
319,481
320,484
321,485
322,485
323,484
324,482
325,480
326,477
327,478
328,481
329,483
330,484
331,484
332,482
333,479
334,470
335,463
336,460
337,457
338,453
339,448
340,443
341,436
342,430
343,425
344,424
345,426
346,426
347,425
348,423
349,419
350,414
351,410
352,410
353,413
354,415
355,416
356,415
357,412
358,409
359,405
360,404
361,407
362,410
363,412
364,412
365,411
366,407
367,404
368,402
369,405
370,410
371,413
372,414
373,413
374,411
375,409
376,405
377,407
378,411
379,415
380,416
381,416
382,414
383,411
384,407
385,407
386,410
387,414
388,416
389,416
390,415
391,413
392,409
393,407
394,411
395,414
396,417
397,418
398,416
399,414
400,411
401,409
402,411
403,416
404,420
405,423
406,423
407,422
408,420
409,417
410,418
411,422
412,426
413,428
414,429
415,427
416,425
417,421
418,420
419,423
420,427
421,429
422,430
423,430
424,427
425,425
426,421
427,424
428,427
429,430
430,431
431,431
432,429
433,425
434,421
435,420
436,422
437,424
438,424
439,424
440,421
441,418
442,414
443,412
444,414
445,417
446,419
447,419
448,418
449,415
450,412
451,408
452,410
453,414
454,416
455,417
456,416
457,414
458,411
459,408
460,408
461,411
462,415
463,417
464,416
465,415
466,412
467,409
468,411
469,416
470,422
471,426
472,428
473,429
474,428
475,427
476,425
477,429
478,433
479,437
480,438
481,438
482,437
483,435
484,432
485,433
486,436
487,440
488,442
489,442
490,441
491,439
492,436
493,435
494,438
495,441
496,444
497,444
498,443
499,441
500,438
501,437
502,440
503,445
504,448
505,450
506,450
507,449
508,447
509,445
510,446
511,450
512,453
513,455
514,455
515,453
516,451
517,448
518,447
519,450
520,454
521,456
522,456
523,455
524,453
525,450
526,448
527,451
528,454
529,457
530,458
531,457
532,455
533,451
534,443
535,439
536,437
537,436
538,432
539,428
540,423
541,417
542,411
543,408
544,410
545,412
546,412
547,411
548,409
549,405
550,400
551,397
552,399
553,402
554,404
555,404
556,403
557,400
558,397
559,393
560,394
561,397
562,400
563,402
564,401
565,399
566,396
567,392
568,391
569,394
570,398
571,400
572,400
573,399
574,396
575,392
576,390
577,393
578,396
579,399
580,400
581,399
582,397
583,394
584,390
585,391
586,395
587,398
588,400
589,399
590,397
591,395
592,390
