Time,Light,Avg
0,638,0
5,292,24
11,603,83
17,597,143
23,239,167
29,667,233
35,544,288
40,319,319
46,749,393
52,460,436
58,334,469
69,482,489
81,756,506
94,551,499
106,272,502
120,381,476
133,610,483
147,738,526
160,503,500
174,261,487
187,299,484
201,520,492
214,746,491
228,630,500
241,325,504
255,263,491
268,474,473
282,661,471
295,689,491
309,406,500
322,249,495
336,371,479
349,593,466
363,725,476
376,515,492
390,243,489
403,289,475
417,511,456
431,726,459
444,608,480
458,307,484
471,248,472
485,423,455
498,660,449
512,678,469
525,383,484
539,205,474
552,362,459
566,592,447
579,709,459
593,461,475
606,230,471
620,285,457
633,507,442
647,683,443
660,592,459
674,295,467
687,205,454
701,423,438
714,651,433
728,670,453
741,375,467
755,193,457
769,367,438
782,590,430
796,662,442
809,449,459
823,213,455
836,286,441
850,508,426
863,669,428
877,580,445
890,277,453
904,199,440
917,420,423
931,654,423
944,650,443
958,354,457
971,189,447
985,361,432
998,587,424
1012,658,440
1026,530,465
1041,348,478
1056,196,455
1070,190,408
1085,363,380
1099,542,400
1114,690,451
1128,653,478
1143,518,470
1157,345,434
1172,193,400
1187,228,389
1201,354,407
1216,539,442
1230,641,474
1245,642,483
1259,514,463
1274,330,431
1289,219,402
1303,216,391
1318,357,411
1332,540,443
1347,645,470
1361,643,479
1376,502,459
1390,360,430
1405,211,401
1420,212,391
1434,356,406
1449,499,435
1463,642,463
1478,635,472
1492,532,456
1507,360,426
1521,211,397
1536,218,383
1551,317,395
1565,495,424
1580,635,451
1594,630,464
1609,531,447
1623,356,418
1638,205,389
1653,172,373
1667,316,386
1682,502,416
1696,644,447
1711,634,459
1725,528,446
1740,347,417
1754,162,384
1769,173,368
1784,319,381
1798,503,414
1813,643,445
1827,671,456
1842,526,443
1856,307,410
1871,159,375
1885,172,359
1900,324,376
1915,499,410
1929,636,440
1944,663,456
1958,478,443
1973,305,409
1987,161,374
2002,176,362
2017,325,379
2031,500,412
2046,673,447
2060,658,462
2075,471,444
2089,300,406
2104,153,371
2118,168,359
2133,362,376
2148,537,414
2162,675,448
2177,658,461
2191,465,440
2206,291,402
2220,146,370
2235,199,359
2249,357,381
2264,541,418
2279,669,452
2293,616,461
2308,464,439
2322,281,401
2337,188,370
2351,203,362
2366,358,384
2381,535,422
2395,663,451
2410,606,457
2424,453,434
2439,278,395
2453,175,368
2468,192,362
2482,353,384
2497,534,418
2512,621,443
2526,601,449
2541,445,426
2555,309,392
2570,177,365
2584,197,360
2599,355,379
2613,498,409
2628,624,435
2643,601,441
2657,446,422
2672,310,389
2686,180,362
2701,197,357
2715,322,374
2730,505,404
2745,623,430
2759,602,439
2774,448,420
2788,312,389
2803,177,363
2817,161,354
2832,328,370
2846,508,400
2861,623,429
2876,604,438
2890,486,418
2905,309,387
2919,138,358
2934,164,346
2948,331,362
2963,509,395
2977,622,424
2992,637,433
3007,482,416
3021,268,386
3036,136,357
3050,164,344
3065,331,364
3079,504,398
3094,661,427
3109,638,439
3123,472,423
3138,259,389
3152,138,356
3167,161,344
3181,330,363
3196,541,398
3210,659,430
3225,633,441
3240,468,424
3254,259,386
3269,132,352
3283,163,343
3298,361,364
3312,539,403
3327,658,434
3341,625,445
3356,426,424
3371,252,386
3385,130,353
3400,198,344
3414,365,369
3429,537,408
3443,652,439
3458,625,445
3473,419,421
3487,244,383
3502,133,351
3516,192,347
3531,368,372
3545,543,410
3560,646,437
3574,587,440
3589,417,415
3604,242,377
3618,164,349
3633,199,345
3647,364,371
3662,539,405
3676,616,429
3691,578,432
3705,416,408
3720,241,374
3735,171,346
3749,196,343
3764,335,368
3778,508,399
3793,614,422
3807,581,423
3822,416,402
3837,245,367
3851,169,343
3866,164,340
3880,337,362
3895,509,393
3909,610,416
3924,584,422
3938,409,401
3953,276,367
3968,167,345
3982,161,340
3997,339,358
4011,510,389
4026,618,416
4040,581,421
4055,450,400
4069,280,369
4084,127,346
4099,168,340
4113,337,358
4128,506,392
4142,612,419
4157,611,424
4171,447,406
4186,275,376
4201,133,349
4215,164,340
4230,342,358
4244,512,392
4259,650,417
4273,613,425
4288,443,406
4302,274,375
4317,129,345
4332,167,335
4346,339,357
4361,548,395
4375,647,424
4390,611,432
4404,435,414
4419,230,380
4433,122,349
4448,164,341
4463,374,364
4477,543,402
4492,641,432
4506,601,436
4521,399,414
4535,229,376
4550,126,346
4565,166,337
4579,375,364
4594,543,402
4608,641,432
4623,563,435
4637,396,409
4652,227,371
4666,126,341
4681,206,336
4696,377,363
4710,545,402
4725,602,427
4739,560,427
4754,395,400
4768,223,363
4783,127,337
4797,210,337
4812,380,365
4827,514,403
4841,607,424
4856,559,424
4870,390,398
4885,221,364
4899,120,338
4914,207,338
4929,351,365
4943,513,396
4958,607,418
4972,565,417
4987,392,395
5001,224,361
5016,167,339
5030,177,340
5045,347,363
5060,519,394
5074,608,415
5089,557,418
5103,391,395
5118,257,361
5132,161,340
5147,177,336
5161,353,356
5176,519,387
5191,610,411
5205,562,414
5220,423,396
5234,262,365
5249,168,344
5263,172,341
5278,349,360
5293,516,395
5307,604,419
5322,592,425
5336,424,405
5351,252,374
5365,119,348
5380,174,341
5394,352,361
5409,515,395
5424,642,423
5438,592,429
5453,415,410
5467,253,375
5482,121,346
5496,171,339
5511,352,358
5525,552,397
5540,640,425
5555,585,431
5569,414,407
5584,209,372
5598,116,343
5613,175,337
5627,389,361
5642,553,400
5657,639,428
5671,583,430
5686,374,407
5700,209,368
5715,120,339
5729,174,333
5744,392,357
5758,557,396
5773,643,424
5788,547,425
5802,378,397
5817,205,359
5831,116,331
5846,172,330
5860,391,359
5875,558,398
5889,600,422
5904,550,420
5919,371,393
5933,211,354
5948,126,330
5962,179,328
5977,399,356
5991,522,391
6006,603,411
6021,545,409
6035,375,386
6050,207,351
6064,121,326
6079,218,330
6093,358,359
6108,528,394
6122,608,414
6137,552,414
6152,376,389
6166,204,355
6181,158,335
