Time,Light
1,71
2,346
3,75
4,346
5,77
6,346
7,79
8,346
9,80
10,346
11,81
12,346
13,81
14,346
15,82
16,346
17,82
18,346
19,83
20,346
21,83
22,346
23,84
24,346
25,84
26,81
27,85
28,81
29,85
30,82
31,85
32,82
33,86
34,82
35,86
36,82
37,346
38,83
39,346
40,83
41,346
42,83
43,346
44,83
45,347
46,84
47,346
48,84
49,346
50,84
51,346
52,84
53,346
54,84
55,346
56,85
57,346
58,85
59,346
60,85
61,347
62,86
63,346
64,86
65,346
66,86
67,346
68,87
69,346
70,87
71,346
72,87
73,346
74,87
75,346
76,88
77,346
78,88
79,346
80,89
81,346
82,89
83,84
84,346
85,84
86,346
87,85
88,346
89,85
90,346
91,85
92,346
93,86
94,347
95,85
96,346
97,86
98,346
99,86
100,346
101,87
102,346
103,87
104,346
105,87
106,346
107,87
108,346
109,87
110,346
111,88
112,346
113,87
114,346
115,88
116,346
117,88
118,346
119,88
120,347
121,89
122,346
123,89
124,346
125,89
126,346
127,90
128,346
129,91
130,346
131,91
132,346
133,346
134,346
135,346
136,346
137,346
138,87
139,346
140,87
141,346
142,88
143,346
144,87
145,346
146,87
147,346
148,88
149,347
150,88
151,346
152,89
153,346
154,88
155,346
156,88
157,347
158,88
159,346
160,89
161,346
162,89
163,347
164,89
165,346
166,90
167,346
168,90
169,346
170,90
171,346
172,90
173,346
174,90
175,346
176,91
177,346
178,91
179,346
180,92
181,346
182,92
183,346
184,92
185,346
186,346
187,87
188,346
189,87
190,346
191,88
192,346
193,88
194,346
195,89
196,346
197,89
198,346
199,89
200,347
201,89
202,346
203,90
204,346
205,89
206,346
207,89
208,347
209,89
210,346
211,89
212,346
213,90
214,346
215,90
216,346
217,90
218,346
219,91
220,346
221,91
222,346
223,92
224,346
225,93
226,346
227,93
228,347
229,346
230,346
231,346
232,346
233,346
234,346
235,346
236,346
237,346
238,88
239,346
240,88
241,346
242,89
243,346
244,89
245,346
246,89
247,346
248,89
249,347
250,89
251,346
252,89
253,346
254,89
255,346
256,90
257,347
258,90
259,346
260,91
261,346
262,91
263,347
264,90
265,346
266,90
267,346
268,92
269,346
270,91
271,346
272,92
273,346
274,92
275,346
276,92
277,346
278,93
279,346
280,93
281,346
282,93
283,346
284,347
285,346
286,346
287,346
288,346
289,346
290,346
291,88
292,346
293,88
294,346
295,88
296,346
297,90
298,346
299,89
300,347
301,89
302,346
303,89
304,346
305,90
306,346
307,90
308,346
309,90
310,346
311,91
312,346
313,91
