Time,Light,Avg
0,796,0
50,809,82
101,796,164
152,762,242
203,704,314
254,633,379
305,579,439
356,626,504
407,739,572
458,780,643
509,803,719
559,826,716
610,846,717
661,859,723
712,868,736
763,874,758
814,875,785
865,869,805
916,850,821
967,816,832
1018,805,838
1069,788,839
1120,761,833
1171,727,823
1222,679,806
1273,620,782
1324,560,752
1374,544,722
1425,594,699
1476,667,684
1527,730,676
1578,778,676
1629,814,682
1680,848,694
1731,876,714
1782,888,740
1833,891,773
1884,890,807
1935,890,835
1986,888,856
2037,884,870
2088,879,878
2139,868,882
2190,838,880
2241,794,874
2292,734,861
2343,649,839
2394,583,810
2445,610,784
2496,706,768
2547,800,758
2598,832,751
2649,850,748
2700,864,749
2751,873,754
2802,880,765
2852,884,787
2903,885,815
2954,885,840
3005,882,855
3056,876,865
3107,863,869
3158,841,866
3209,789,853
3260,683,835
3311,641,813
3362,591,784
3413,545,751
3464,527,715
3515,562,684
3566,619,660
3617,671,642
3668,714,633
3719,750,637
3770,778,647
3821,803,663
3872,820,687
3923,842,716
3974,841,748
4025,841,777
4076,832,799
4127,822,814
4178,807,824
4229,786,828
4280,756,826
4331,718,818
4381,666,802
4432,600,779
4483,546,749
4534,555,720
4585,626,699
4636,695,686
4687,754,681
4738,799,682
4789,836,691
4840,868,706
4891,883,727
4942,889,755
4993,890,788
5044,890,821
5095,889,846
5146,886,864
5197,882,875
5248,876,881
5299,863,882
5350,828,878
5401,778,870
5452,707,854
5503,617,829
5554,585,800
5605,645,778
5656,748,763
5707,809,753
5758,835,747
5809,853,745
5860,866,747
5910,875,753
5961,880,768
6012,884,793
6063,885,821
6114,883,842
6165,879,856
6216,871,865
6267,855,867
6318,826,862
6369,740,847
6420,669,828
6471,624,803
6522,573,773
6573,533,738
6624,533,704
6675,583,675
6726,637,653
6777,687,638
6828,727,633
6879,760,639
6930,786,651
6981,808,670
7032,831,696
7083,843,727
7134,838,758
7185,837,784
7236,826,804
7287,813,817
7338,796,824
7389,772,826
7440,740,821
7490,696,810
7541,639,792
7592,572,765
7643,541,734
7694,573,708
7745,649,690
7796,717,680
7847,770,677
7898,810,682
7949,846,693
8000,876,711
8051,887,734
8102,889,765
8153,889,800
8204,889,830
8255,888,853
8306,885,868
8357,880,877
8408,872,882
8459,854,880
8510,817,875
8561,762,866
8612,684,847
8663,601,820
8714,604,794
8765,684,775
8816,785,762
8867,821,753
8918,842,749
8968,859,749
9019,869,752
9070,877,760
9121,883,777
9172,884,804
9223,885,830
9274,883,848
9325,878,860
9376,867,867
9427,850,867
9478,814,859
9529,699,843
9580,655,822
9631,608,795
9682,558,763
9733,530,728
9784,547,695
9835,602,669
9886,655,649
9937,700,637
9988,738,635
10039,768,643
10090,790,656
10141,846,677
10192,865,705
10243,871,738
10294,871,769
10345,863,793
10396,850,809
10447,815,816
10498,755,818
10549,724,813
10600,689,803
10651,643,787
10702,591,762
10753,540,730
10804,533,698
10855,573,671
10906,627,652
10957,672,641
11008,709,636
11059,786,638
11110,839,649
11161,862,669
11212,873,695
11263,879,729
11314,881,763
11365,879,793
11416,874,816
11467,864,833
11518,847,844
11569,816,846
11620,747,835
11671,655,816
11722,605,791
11773,557,759
11824,527,725
11875,542,692
11926,587,664
11977,639,643
12028,771,628
12079,828,631
12130,854,646
12181,868,666
12232,878,692
12283,882,724
12334,885,759
12385,885,793
12436,883,822
12487,878,845
12538,869,863
12589,856,868
12640,838,866
12691,808,857
12742,758,835
12793,692,805
12844,613,771
12895,619,735
12947,690,703
12998,760,684
13049,810,675
13100,841,673
13151,860,676
13202,872,686
13253,879,708
13304,884,738
13355,887,773
13406,888,809
13457,887,841
13508,885,862
13559,880,872
13610,873,876
13661,863,877
13712,848,874
13763,815,868
13814,744,857
13865,648,835
13916,586,807
13967,608,781
14018,697,764
14069,772,756
14120,828,753
14171,860,753
14222,874,756
14273,880,763
14324,885,774
14375,887,796
14426,889,825
14477,889,851
14528,888,868
14579,885,876
14630,881,880
14681,872,881
14732,842,880
14783,799,875
14834,741,862
14885,669,842
14936,588,813
14987,568,782
15038,624,757
15089,701,740
15140,758,730
15191,803,724
15242,837,724
15293,866,730
15344,881,742
15395,889,763
15446,890,792
15497,890,823
15548,890,848
15599,885,865
15650,875,876
15701,850,881
15752,819,879
15803,783,871
15854,740,858
15905,681,839
15956,609,812
16007,558,779
16058,572,748
16109,636,724
16160,701,707
16211,753,697
16262,789,694
16313,819,697
16364,843,708
16415,860,726
16466,872,753
16517,876,786
16568,874,816
16619,866,840
16670,852,856
16721,834,864
16772,810,866
16823,778,862
16874,741,851
16925,691,833
16976,628,808
17027,570,777
17078,547,744
17130,585,714
17181,648,693
17232,704,680
17283,746,673
17334,777,673
17385,802,679
17436,821,692
17487,834,714
17538,843,742
17589,847,773
17640,843,799
17691,831,818
17742,816,830
17793,795,835
17844,770,834
17895,737,827
17946,696,814
17997,645,794
18048,586,768
18099,540,736
18150,552,706
18201,600,682
18252,657,666
18303,704,656
18354,740,653
18405,768,657
18456,791,666
18507,825,682
18558,857,705
18609,868,736
18660,868,766
18711,861,789
18762,847,804
18813,811,812
18864,764,814
18915,735,811
18966,701,802
19017,658,787
19068,604,765
19119,552,736
19170,533,704
19221,565,677
19272,615,658
19323,663,645
19374,701,639
19425,747,639
19476,826,645
19527,856,663
19578,870,688
19629,878,719
19680,880,753
19731,879,784
19782,874,809
19833,865,827
19884,849,839
19935,821,843
19986,761,836
