Time,Light,Avg
5,849,861
11,874,837
17,870,760
23,861,788
29,840,823
35,760,865
41,779,873
46,815,865
52,851,850
60,872,827
73,840,850
85,800,861
98,764,868
110,733,847
124,832,838
137,844,760
151,752,864
164,862,772
178,796,784
191,775,851
205,855,713
218,705,817
232,804,828
245,836,739
259,730,857
272,846,767
286,792,770
299,762,853
313,856,706
327,699,810
340,801,837
354,843,740
367,734,862
381,849,809
394,819,781
408,774,861
421,863,724
435,755,827
448,819,855
462,858,763
475,755,870
489,872,845
502,850,803
516,798,871
529,873,823
543,835,852
556,842,869
570,871,789
583,787,879
597,880,867
610,869,826
624,818,880
637,880,860
651,864,870
665,860,878
678,879,840
692,850,884
705,885,876
719,877,837
732,831,883
746,883,871
759,874,876
773,866,881
786,882,859
800,863,885
813,885,878
827,880,835
840,828,883
854,884,872
867,873,864
881,856,880
894,881,853
908,858,883
921,879,874
935,876,816
948,811,881
962,881,862
975,865,840
989,831,875
1003,876,825
1017,878,855
1032,851,866
1046,806,872
1061,771,872
1075,834,834
1090,856,790
1104,866,751
1119,871,815
1134,835,847
1148,790,860
1163,751,864
1177,746,816
1192,828,774
1206,852,735
1221,862,699
1235,823,819
1250,777,847
1265,739,856
1279,701,812
1294,791,769
1308,837,733
1323,855,698
1337,829,798
1352,784,841
1367,746,857
1381,712,829
1396,769,787
1410,835,752
1425,855,720
1439,859,799
1454,813,845
1468,776,862
1483,744,865
1498,788,824
1512,845,789
1527,862,757
1541,871,825
1556,854,856
1570,815,869
1585,781,875
1599,823,868
1614,858,827
1629,870,793
1643,877,846
1658,880,867
1672,852,875
1687,816,880
1701,846,882
1716,868,860
1731,877,823
1745,880,858
1760,884,873
1774,882,879
1789,839,882
1803,855,884
1818,872,882
1832,878,840
1847,881,858
1862,883,872
1876,885,878
1891,852,882
1905,841,882
1920,867,880
1934,875,844
1949,879,830
1963,882,862
1978,882,871
1993,851,876
2007,810,879
2022,844,877
2036,862,837
2051,871,794
2065,874,824
2080,878,854
2095,840,867
2109,797,871
2124,761,872
2138,834,822
2153,856,781
2167,865,741
2182,867,813
2196,823,847
2211,780,860
2226,741,857
2240,757,807
2255,830,765
2269,852,725
2284,858,727
2298,813,824
2313,770,848
2327,730,858
2342,695,805
2357,801,764
2371,841,726
2386,856,694
2400,822,808
2415,779,844
2429,742,858
2444,711,826
2459,789,786
2473,840,749
2488,858,718
2502,854,813
2517,810,850
2531,774,864
2546,743,867
2560,808,821
2575,850,787
2590,865,759
2604,873,835
2619,851,860
2633,814,871
2648,780,876
2662,834,866
2677,863,825
2691,873,795
2706,877,854
2721,880,869
2735,848,877
2750,813,881
2764,854,883
2779,871,856
2793,878,822
2808,881,862
2823,883,874
2837,876,879
2852,835,882
2866,859,884
2881,873,874
2895,879,836
2910,881,861
2924,883,873
2939,881,878
2954,845,881
2968,845,882
2983,867,880
2997,874,835
3012,879,834
3026,880,862
3041,880,871
3055,843,875
3070,803,879
3085,844,875
3099,861,827
3114,870,787
3128,874,827
3143,872,854
3157,831,864
3172,787,870
3187,751,860
3201,833,811
3216,854,770
3230,864,734
3245,868,815
3259,812,846
3274,770,860
3288,731,846
3303,765,798
3318,831,755
3332,852,717
3347,858,743
3361,804,827
3376,762,849
3390,724,849
3405,692,797
3419,810,757
3434,844,721
3449,854,691
3463,815,817
3478,775,847
3492,739,857
3507,707,823
3521,806,781
3536,844,747
3551,860,719
3565,852,826
3580,807,854
3594,773,865
3609,743,864
3623,823,822
3638,854,786
3652,866,759
3667,874,845
3682,849,864
3696,811,872
3711,781,877
3725,846,861
3740,866,823
3754,874,813
3769,879,859
3783,878,871
3798,845,878
3813,813,880
3827,859,880
3842,873,851
3856,878,831
3871,882,866
3885,884,875
3900,870,880
3915,831,882
3929,861,884
3944,874,867
3958,879,831
3973,881,863
3987,882,873
4002,883,878
4016,838,881
4031,848,882
4046,867,872
4060,874,827
4075,877,836
4089,879,862
4104,877,870
4118,833,875
4133,796,877
4147,843,862
4162,862,818
4177,869,776
4191,874,828
4206,869,854
4220,819,863
4235,778,870
4249,761,848
4264,834,802
4279,854,763
4293,864,723
4308,853,820
4322,803,848
4337,761,859
4351,723,837
4366,778,788
4380,833,747
4395,853,710
4410,846,763
4424,796,831
4439,755,851
4453,718,837
4468,687,791
4482,816,751
4497,846,717
4511,855,721
4526,812,826
4541,771,851
4555,737,859
4570,707,818
4584,818,781
4599,849,749
4613,863,738
4628,846,835
4643,806,857
4657,772,867
4672,744,860
4686,834,818
4701,858,784
4715,869,797
4730,875,851
4744,846,867
4759,810,874
4774,785,878
4788,852,858
4803,868,820
4817,876,830
4832,880,863
4846,878,873
4861,842,879
4875,823,881
4890,864,880
4905,874,847
4919,879,843
4934,882,868
4948,884,876
4963,864,880
4977,829,883
4992,863,884
5007,874,863
5021,879,828
5036,881,864
5050,883,874
5065,873,878
5079,830,880
5094,850,881
5108,867,861
5123,874,819
5138,877,837
5152,880,861
5167,870,870
5181,825,874
5196,788,877
5210,843,852
5225,861,805
5239,868,770
5254,873,827
5269,858,851
5283,809,863
5298,769,869
5312,767,837
5327,833,792
5341,854,751
5356,864,726
5371,843,822
5385,793,848
5400,752,860
5414,714,824
5429,789,779
5443,836,740
5458,854,703
5472,837,781
5487,789,834
5502,749,853
5516,714,831
5531,720,786
5545,823,747
5560,849,713
5574,856,762
5589,809,831
5603,769,854
5618,735,863
5633,712,815
5647,828,777
5662,853,746
5676,865,778
5691,844,842
5705,804,860
5720,771,870
5735,768,857
5749,843,815
5764,863,784
5778,871,815
5793,876,856
5807,844,869
5822,809,876
5836,816,879
5851,858,856
5866,871,818
5880,877,842
5895,880,867
5909,881,876
5924,839,879
5938,839,882
5953,867,879
5967,876,843
5982,879,849
5997,882,870
6011,884,877
6026,858,880
6040,835,882
6055,866,884
6069,875,853
6084,878,835
6099,881,864
6113,883,873
6128,865,878
6142,824,880
6157,850,881
6171,867,854
6186,873,812
6200,877,837
6215,879,860
6230,861,869
6244,814,873
6259,779,876
6273,843,839
6288,860,796
6302,868,763
6317,872,827
6331,844,852
6346,799,862
6361,758,865
6375,772,828
6390,835,782
6404,853,743
6419,863,741
6433,830,824
6448,783,848
6463,743,858
6477,707,817
6492,796,771
6506,838,733
6521,854,697
6535,828,793
6550,783,839
6564,744,855
6579,709,825
6594,758,782
6608,830,745
6623,852,710
6637,849,785
6652,804,838
6666,766,857
6681,733,858
6695,760,813
