Time,Light,Avg
0,549,0
50,710,166
101,757,329
152,756,486
203,724,633
254,675,767
305,630,725
356,638,695
407,702,682
458,753,685
509,784,709
559,808,748
610,827,782
661,842,809
712,852,832
763,859,849
814,862,861
865,860,865
916,848,861
967,823,854
1018,807,844
1069,791,831
1120,770,814
1171,744,796
1222,708,771
1273,662,737
1324,614,695
1375,588,656
1425,605,631
1476,650,629
1527,701,650
1578,746,691
1629,783,741
1680,816,789
1731,846,827
1782,864,854
1833,873,873
1884,877,885
1935,878,890
1986,877,891
2037,875,890
2088,870,888
2139,864,884
2190,842,876
2241,809,863
2292,763,838
2343,698,799
2394,639,749
2445,632,708
2496,681,692
2547,752,698
2598,799,726
2649,825,771
2700,843,813
2751,856,840
2802,864,857
2853,870,869
2903,873,877
2954,874,882
3005,873,884
3056,868,883
3107,861,878
3158,844,867
3209,811,839
3260,735,804
3311,682,762
3362,637,714
3413,596,664
3464,572,627
3515,580,605
3566,614,601
3617,654,615
3668,692,645
3719,725,685
3770,756,725
3821,780,758
3872,808,786
3923,828,809
3974,835,826
4025,831,838
4076,823,844
4127,817,845
4178,805,841
4229,789,831
4280,766,816
4331,736,794
4382,696,765
4432,646,726
4483,600,683
4534,588,646
4585,620,629
4636,670,634
4687,720,663
4738,763,709
4789,800,762
4840,833,807
4891,856,841
4942,870,865
4993,875,880
5044,877,888
5095,877,890
5146,876,890
5197,873,889
5248,865,886
5299,855,881
5350,832,873
5401,793,855
5452,739,825
5503,671,780
5554,629,731
5605,645,696
5656,705,690
5707,770,705
5758,809,741
5809,831,787
5860,847,825
5911,858,846
5962,866,861
6012,871,872
6063,873,879
6114,874,883
6165,871,884
6216,867,881
6267,856,875
6318,838,862
6369,794,829
6420,719,791
6471,668,747
6522,621,697
6573,584,648
6624,570,617
6675,591,601
6726,627,603
6777,667,624
6828,704,658
6879,736,699
6930,765,736
6981,793,768
7032,821,793
7083,837,813
7134,841,828
7185,831,838
7236,821,842
7287,808,840
7338,795,833
7389,777,821
7440,751,803
7491,718,779
7542,675,747
7592,624,707
7643,591,665
7694,595,635
7745,635,626
7796,686,640
7847,734,676
7898,773,725
7949,807,774
8000,837,816
8051,860,847
8102,872,868
8153,876,882
8204,877,889
8255,877,890
8306,875,890
8357,872,888
8408,864,885
8459,844,878
8510,816,866
8561,775,845
8612,716,809
8663,650,760
8714,628,715
8765,663,690
8816,729,692
8867,785,714
8918,819,757
8969,839,802
9020,853,835
9071,862,854
9121,868,867
9172,871,876
9223,873,881
9274,873,883
9325,870,883
9376,864,880
9427,853,873
9478,833,857
9529,783,822
9580,706,782
9631,652,734
9682,606,682
9733,575,633
9784,572,607
9835,600,598
9886,640,607
9937,678,633
9988,713,671
10039,745,711
10090,786,746
10141,822,778
10192,844,807
10243,857,831
10294,861,848
10345,859,861
10396,851,861
10447,831,847
10498,787,826
10549,745,800
10600,711,769
10651,673,734
10702,630,699
10753,588,660
10804,568,624
10855,582,603
10906,616,600
10957,654,615
11008,690,645
11059,758,683
11110,807,730
11161,836,772
11212,853,809
11263,863,840
11314,867,865
11365,868,875
11416,866,877
11467,860,875
11518,849,868
11569,830,853
11620,794,819
11671,716,779
11722,655,733
11773,607,681
11824,574,632
11875,569,604
11926,592,592
11977,665,597
12028,740,629
12079,793,681
12130,825,737
12181,846,788
12232,859,833
12283,867,861
12334,871,874
12385,872,880
12436,872,883
12487,870,883
12538,864,881
12589,856,875
12641,843,864
12692,823,848
12743,792,819
12794,751,775
12845,687,717
12896,645,661
12947,674,631
12998,741,633
13049,784,665
13100,817,719
13151,838,780
13202,853,825
13253,863,852
13304,870,868
13355,874,878
13406,876,883
13457,876,886
13508,875,887
13559,872,886
13610,868,883
13661,861,879
13712,846,871
13763,813,860
13814,762,836
13865,690,795
13916,631,744
13967,621,700
14018,665,677
14069,722,682
14120,775,716
14171,819,766
14222,848,815
14273,863,849
14324,870,870
14375,874,879
14426,877,885
14477,877,888
14528,877,889
14579,875,889
14630,872,888
14681,860,884
14732,836,877
14783,803,861
14834,760,835
14885,703,796
14936,638,744
14987,604,692
15038,621,659
15089,669,651
15140,718,667
15191,761,707
15242,796,758
15293,824,803
15344,848,837
15395,862,861
15446,870,876
15497,873,886
15548,873,890
15599,871,890
15650,859,888
15701,840,881
15752,816,868
15803,786,848
15854,749,820
15905,703,782
15956,647,736
16007,600,687
16058,590,648
16109,619,629
16160,664,632
16211,710,658
16262,747,701
16313,777,746
16364,802,784
16415,821,814
16467,835,837
16518,844,853
16569,845,864
16620,842,868
16671,833,867
16722,819,860
16773,801,847
16824,776,829
16875,746,805
16926,707,775
16977,659,737
17028,610,694
17079,581,652
17130,591,623
17181,627,615
17232,671,629
17283,710,661
17334,743,703
17385,768,743
17436,788,775
17487,806,800
17538,824,818
17589,835,831
17640,837,839
17691,828,841
17742,810,838
17793,789,829
17844,767,814
17895,742,794
17946,709,769
17997,670,737
18048,624,699
18099,584,657
18150,576,624
18201,598,607
18252,635,609
18303,674,630
18354,708,666
18405,739,705
18456,781,740
18507,818,773
18558,841,802
18609,854,828
18660,860,848
18711,860,862
18762,855,865
18813,842,857
18864,814,837
18915,760,811
18966,718,780
19017,680,744
19068,637,703
19119,595,665
19170,570,629
19221,576,605
19272,605,597
19323,640,608
19374,687,635
19425,762,678
19476,809,728
19527,837,774
19578,854,813
19629,864,847
19680,869,867
19731,870,876
19782,869,879
19833,864,878
19884,856,873
19935,843,864
19986,822,846
