Time,Light,Avg
11,172,172
17,633,619
23,706,717
29,171,171
35,787,777
40,627,643
46,211,211
52,833,824
58,458,468
71,887,852
83,608,596
96,203,203
108,491,503
122,842,822
135,806,796
149,476,460
162,162,161
176,319,333
189,737,748
203,847,847
216,565,587
230,240,188
243,205,214
257,615,629
270,844,845
284,690,674
297,342,331
311,153,153
324,450,496
338,836,850
351,796,786
365,464,450
379,155,154
392,314,328
406,733,744
419,841,841
433,554,543
446,230,214
460,200,208
473,610,625
487,838,838
500,679,664
514,334,323
527,148,148
541,445,457
554,831,846
568,786,778
581,455,439
595,150,149
608,311,326
622,727,738
635,834,834
649,547,535
662,222,204
676,197,206
689,606,621
703,831,830
717,673,658
730,327,316
744,142,142
757,439,451
771,828,841
784,779,770
798,410,430
811,178,142
825,307,322
838,723,733
852,827,826
865,536,525
879,212,196
892,191,200
906,568,617
919,859,825
933,661,646
946,316,306
960,133,133
973,436,447
987,824,838
1000,770,762
1015,530,519
1030,313,302
1044,169,169
1059,222,230
1073,435,446
1088,685,695
1102,822,822
1117,769,761
1131,564,519
1146,313,302
1161,171,171
1175,186,230
1190,430,440
1204,680,691
1219,818,817
1233,798,756
1248,561,549
1263,311,300
1277,130,165
1292,186,194
1306,433,444
1321,684,694
1335,820,819
1350,799,791
1364,559,548
1379,307,295
1394,130,129
1408,184,192
1423,431,442
1437,682,693
1452,851,850
1466,794,786
1481,553,542
1495,263,251
1510,123,122
1525,179,187
1539,432,442
1554,716,692
1568,849,849
1583,790,783
1597,513,537
1612,261,249
1627,120,120
1641,180,188
1656,431,441
1670,717,728
1685,847,847
1699,753,779
1714,509,498
1728,255,244
1743,118,117
1758,181,189
1772,468,478
1787,718,729
1801,847,847
1816,750,741
1830,505,494
1845,251,240
1859,116,116
1874,216,190
1889,467,479
1903,717,728
1918,809,810
1932,747,738
1947,502,491
1961,250,238
1976,117,116
1991,216,225
2005,468,479
2020,681,727
2034,806,807
2049,745,736
2063,500,489
2078,247,235
2092,150,150
2107,215,224
2122,466,477
2136,680,691
2151,804,805
2165,742,733
2180,497,486
2194,281,268
2209,149,148
2223,214,222
2238,430,442
2253,678,691
2267,803,803
2282,739,730
2296,530,483
2311,279,265
2325,147,147
2340,177,221
2355,428,440
2369,678,689
2384,800,800
2398,737,728
2413,528,517
2427,276,263
2442,145,144
2456,174,183
2471,426,437
2486,674,686
2500,798,799
2515,770,760
2529,526,515
2544,274,262
2558,107,108
2573,175,184
2587,426,438
2602,674,686
2617,832,798
2631,768,758
2646,524,512
2660,236,223
2675,107,107
2689,173,183
2704,426,438
2719,674,686
2733,831,831
2748,766,756
2762,486,509
2777,233,221
2791,106,105
2806,173,182
2820,425,438
2835,709,721
2850,828,829
2864,763,754
2879,484,472
2893,231,218
2908,106,104
2922,172,183
2937,461,438
2951,709,722
2966,828,828
2981,726,717
2995,482,469
3010,229,216
3024,103,103
3039,209,183
3053,462,473
3068,709,721
3083,792,827
3097,725,716
3112,480,468
3126,226,213
3141,102,101
3155,207,216
3170,462,473
3184,674,722
3199,790,791
3214,722,714
3228,478,466
3243,225,212
3257,137,137
3272,210,218
3286,460,472
3301,675,688
3315,792,792
3330,722,713
3345,475,463
3359,256,209
3374,136,136
3388,209,217
3403,427,474
3417,675,687
3432,789,789
3447,719,710
3461,507,460
3476,254,241
3490,136,136
3505,173,218
3519,425,438
3534,674,686
3548,786,787
3563,715,706
3578,506,492
3592,252,239
3607,133,133
3621,171,181
3636,425,437
3650,673,685
3665,784,785
3679,749,738
3694,504,491
3709,251,238
3723,96,97
3736,425,438
3750,673,685
3765,785,785
3779,713,703
3794,503,489
3808,250,237
3823,98,134
3837,340,320
3851,600,615
3866,813,815
3880,784,781
3895,585,571
3909,328,312
3924,104,103
3938,97,100
3952,427,441
3967,674,686
3981,782,782
3996,744,699
4010,499,486
4025,247,235
4039,97,97
4052,427,440
4066,674,686
4081,783,784
4095,710,699
4110,500,486
4125,245,234
4139,97,133
4153,338,318
4167,600,615
4182,808,809
4196,779,811
4211,579,566
4225,323,308
4240,102,101
4255,96,99
4267,601,615
4282,810,811
4296,815,811
4311,578,564
4325,318,303
4340,99,98
4352,306,321
4367,604,583
4381,811,812
4396,814,811
4411,575,597
4425,317,301
4440,99,98
4452,309,322
4467,569,584
4481,812,812
4496,814,810
4510,608,596
4525,315,301
4540,100,98
4553,211,224
