Time,Light,Avg
0,746,43
5,851,85
11,868,126
17,863,165
23,853,205
29,836,247
35,774,290
41,788,333
46,822,377
52,858,419
58,870,461
71,857,504
83,819,547
96,787,590
108,762,634
122,861,676
135,854,716
149,786,759
162,869,801
176,835,842
189,817,842
203,863,838
216,779,840
230,853,844
243,855,843
257,780,845
270,869,843
284,839,841
297,811,841
311,864,837
324,795,838
338,846,838
351,857,834
365,776,834
379,869,832
392,843,830
406,806,834
419,866,830
433,811,831
446,842,832
460,859,828
473,773,834
487,867,833
500,847,831
514,804,834
527,867,831
541,823,832
554,838,834
568,861,830
581,774,835
595,868,835
608,852,832
622,801,837
635,868,834
649,832,835
662,835,837
676,863,833
689,771,837
703,868,837
717,855,834
730,798,839
744,869,836
757,838,836
771,829,839
784,864,834
798,785,837
811,868,837
825,856,834
838,793,839
852,869,837
865,842,836
879,824,839
892,865,835
906,801,837
919,860,837
933,858,834
946,787,839
960,870,837
973,844,836
987,817,839
1000,865,835
1015,870,835
1030,844,836
1044,804,836
1059,772,841
1073,828,840
1088,852,837
1102,862,835
1117,868,833
1131,854,834
1146,812,835
1161,776,836
1175,810,839
1190,845,836
1204,859,832
1219,866,833
1233,866,832
1248,822,833
1263,784,835
1277,777,835
1292,838,836
1306,855,834
1321,864,830
1335,865,829
1350,833,828
1364,795,829
1379,763,833
1394,828,836
1408,852,834
1423,862,829
1437,868,828
1452,846,827
1466,806,828
1481,772,831
1495,818,834
1510,848,834
1525,861,830
1539,867,829
1554,862,828
1568,819,828
1583,783,830
1597,804,834
1612,845,836
1627,859,833
1641,866,831
1656,867,830
1670,833,830
1685,796,831
1699,781,835
1714,840,839
1728,857,837
1743,865,834
1758,870,833
1772,847,832
1787,807,834
1801,775,837
1816,832,841
1830,854,840
1845,864,836
1859,869,834
1874,860,834
1889,818,834
1903,782,836
1918,820,840
1932,850,840
1947,862,837
1961,867,835
1976,873,834
1991,828,834
2005,790,836
2020,795,839
2034,843,841
2049,858,838
2063,865,835
2078,868,834
2092,837,833
2107,798,834
2122,767,837
2136,832,840
2151,853,838
2165,863,834
2180,868,832
2194,847,832
2209,806,832
2223,770,835
2238,816,838
2253,848,837
2267,859,832
2282,866,830
2296,858,829
2311,815,829
2325,779,831
2340,793,834
2355,841,835
2369,856,832
2384,864,829
2398,865,828
2413,827,827
2427,789,829
2442,753,833
2456,833,836
2471,853,833
2486,863,829
2500,868,828
2515,840,827
2529,801,828
2544,767,832
2558,824,835
2573,851,834
2587,861,830
2602,867,829
2617,855,828
2631,814,828
2646,779,831
2660,814,835
2675,848,836
2689,860,832
2704,867,830
2719,873,830
2733,827,829
2748,791,831
2762,797,836
2777,843,838
2791,859,836
2806,866,833
2820,870,832
2835,841,832
2850,802,834
2864,771,837
2879,837,841
2893,855,839
2908,864,835
2922,869,834
2937,853,833
2951,812,834
2966,778,837
2981,826,840
2995,852,840
3010,862,836
3024,868,835
3039,864,834
3053,821,833
3068,785,835
3083,807,839
3097,845,840
3112,859,836
3126,865,834
3141,866,833
3155,831,832
3170,792,834
3184,767,838
3199,836,840
3214,854,838
3228,863,833
3243,868,832
3257,840,831
3272,800,832
3286,767,835
3301,823,838
3315,849,836
3330,860,832
3345,866,830
3359,851,829
3374,809,829
3388,774,832
3403,805,835
3417,844,835
3432,858,831
3447,865,829
3461,865,828
3476,821,827
3490,783,829
3505,780,832
3519,837,835
3534,856,832
3548,864,828
3563,865,827
3578,834,827
3592,796,828
3607,764,832
3621,831,835
3636,852,833
3650,863,829
3665,868,828
3679,848,827
3694,809,828
3709,774,831
3723,822,835
3738,850,834
3752,862,831
3767,867,829
3781,865,829
3796,822,829
3811,786,831
3825,809,835
3840,847,837
3854,860,834
3869,866,832
3883,866,831
3898,834,831
3912,797,833
3927,783,836
3942,841,840
3956,857,838
3971,865,835
3985,869,834
4000,847,834
4014,807,834
4029,775,838
4043,832,841
4058,854,840
4073,863,836
4087,868,834
4102,857,834
4116,816,834
4131,780,836
4145,815,839
4160,848,839
4175,859,836
4189,866,834
4204,869,833
4218,824,832
4233,787,834
4247,785,837
4262,839,839
4276,855,836
