Time,Light,Avg
5,845,170
11,865,253
17,862,329
23,853,407
29,838,489
35,795,575
41,771,661
46,806,747
52,841,833
59,798,832
72,839,829
84,853,824
97,862,824
109,867,828
123,833,828
136,810,828
150,861,817
163,777,817
177,845,817
190,853,809
204,771,814
217,866,819
231,836,824
244,803,828
258,862,822
271,791,821
285,839,831
298,854,822
312,766,824
325,867,829
339,839,823
353,797,827
366,862,824
380,803,822
393,834,832
407,856,824
420,762,825
434,864,832
447,844,826
461,794,828
474,864,828
488,817,826
501,829,833
515,858,826
528,762,827
542,865,835
555,848,828
569,791,830
582,866,832
596,827,829
609,827,835
623,860,827
636,760,828
650,868,836
663,852,829
677,788,831
691,867,834
704,835,831
718,822,835
731,863,828
745,781,829
758,862,838
772,854,830
785,784,832
799,868,836
812,839,832
826,817,835
839,863,829
853,797,830
866,855,839
880,856,831
893,779,832
907,868,837
920,842,832
934,810,835
947,863,831
961,805,830
974,846,838
988,856,829
1001,771,831
1016,813,837
1031,846,831
1045,858,824
1060,865,823
1074,865,822
1089,818,829
1103,779,830
1118,782,831
1133,837,834
1147,854,825
1162,862,819
1176,864,822
1191,827,831
1205,787,836
1220,753,837
1234,826,834
1249,849,826
1264,860,815
1278,865,816
1293,838,824
1307,797,831
1322,761,834
1336,812,832
1351,845,825
1365,857,815
1380,865,814
1395,853,820
1409,808,831
1424,770,834
1438,792,834
1453,840,829
1467,855,819
1482,863,816
1497,864,821
1511,822,831
1526,783,835
1540,760,837
1555,835,833
1569,853,825
1584,862,818
1598,867,821
1613,837,829
1628,797,835
1642,764,838
1657,828,836
1671,851,829
1686,861,819
1700,867,820
1715,853,827
1729,810,836
1744,774,839
1759,818,838
1773,848,833
1788,859,823
1802,866,822
1817,865,827
1831,822,837
1846,784,840
1861,797,841
1875,842,837
1890,857,828
1904,863,824
1919,868,827
1933,834,836
1948,794,840
1962,761,842
1977,834,839
1992,853,831
2006,861,821
2021,867,822
2035,845,830
2050,802,835
2064,766,838
2079,819,836
2093,847,829
2108,859,819
2123,865,818
2137,856,824
2152,811,833
2166,773,836
2181,794,836
2195,839,831
2210,855,821
2225,862,817
2239,862,821
2254,820,830
2268,780,835
2283,748,836
2297,830,832
2312,851,824
2326,860,814
2341,865,817
2356,832,825
2370,791,831
2385,755,834
2399,819,831
2414,847,824
2428,858,813
2443,864,813
2457,846,820
2472,802,830
2487,766,834
2501,804,832
2516,842,826
2530,856,816
2545,863,815
2559,862,820
2574,816,831
2589,778,835
2603,784,836
2618,838,831
2632,854,822
2647,862,818
2661,864,822
2676,831,831
2690,791,836
2705,759,838
2720,832,835
2734,852,828
2749,862,819
2763,867,821
2778,846,829
2792,804,836
2807,768,838
2821,823,837
2836,849,831
2851,860,821
2865,866,821
2880,861,827
2894,816,836
2909,778,839
2923,807,840
2938,844,835
2953,858,826
2967,864,823
2982,865,827
2996,827,836
3011,787,840
3025,777,841
3040,837,837
3054,854,829
3069,862,821
3084,867,824
3098,837,832
3113,796,837
3127,762,839
3142,825,836
3156,849,829
3171,859,818
3185,865,819
3200,848,825
3215,805,833
3229,767,836
3244,805,835
3258,842,829
3273,855,818
3287,863,816
3302,861,821
3317,813,831
3331,775,834
3346,772,835
3360,834,830
3375,852,821
3389,861,815
3404,864,818
3418,825,827
3433,785,833
3448,753,835
3462,825,831
3477,848,823
3491,858,812
3506,865,814
3520,838,822
3535,797,830
3549,761,833
3564,813,831
3579,845,824
3593,857,814
3608,864,814
3622,855,820
3637,810,831
3651,774,835
3666,798,835
3681,841,830
3695,856,821
3710,863,818
3724,864,822
3739,825,832
3753,786,837
3768,774,838
3782,836,835
3797,854,827
3812,863,820
3826,868,823
3841,840,832
3855,798,837
3870,765,840
3884,829,838
3899,851,831
3913,861,821
3928,866,822
3943,854,829
3957,810,836
3972,773,839
3986,816,839
4001,847,833
4015,859,823
4030,865,821
4045,864,826
4059,821,836
4074,782,839
4088,793,840
4103,839,836
4117,855,827
4132,862,822
4146,864,825
4161,831,834
4176,790,838
4190,757,839
4205,829,836
4219,850,828
4234,859,817
4248,865,819
4263,840,826
4277,798,832
4292,761,834
4307,814,832
4321,844,826
4336,856,815
4350,863,814
4365,852,820
4379,807,831
4394,770,834
4409,789,834
4423,838,828
4438,854,818
4452,861,815
4467,862,819
4481,819,829
4496,780,834
4510,747,835
4525,830,831
4540,850,822
4554,860,814
4569,864,817
4583,832,825
4598,791,831
